Iteration,AverageDiscountedReturn,KL,KLBefore,NumTrajs,StdReturn,LossAfter,ProcessExecTime,PolicyExecTime,MaxReturn,dLoss,MinReturn,EnvExecTime,LossBefore,TotalEnvSteps,AverageReturn,GradNorm,Entropy
77,-8.700475995553903,0.003326484002172947,0.002973372582346201,300,0.31578825535827365,-0.1473575085401535,0.3581359386444092,11.251189708709717,-20.0,0.0003011077642440796,-22.5,6.592836141586304,-0.14705640077590942,2340842,-20.066666666666666,0.19212010340478314,1.4120111465454102
78,-8.680359413355903,0.0032374002039432526,0.003322172909975052,300,0.22438186696393767,-0.14789149165153503,0.35806989669799805,11.237991571426392,-20.0,0.0017799437046051025,-21.25,6.57362961769104,-0.14611154794692993,2370842,-20.041666666666668,0.19647453732387274,1.4220649003982544
79,-8.699168071394983,0.003082179231569171,0.0032403452787548304,300,0.3760171390892826,-0.14879386126995087,0.35794663429260254,11.239947319030762,-20.0,-0.00011755526065826416,-23.75,6.570900201797485,-0.14891141653060913,2400842,-20.066666666666666,0.17643743535991868,1.4221856594085693
80,-8.698076527999996,0.0027559748850762844,0.003081449307501316,300,0.28087165910587863,-0.14838463068008423,0.35048961639404297,11.089783191680908,-20.0,-0.0009779781103134155,-21.25,6.467960357666016,-0.14936260879039764,2430842,-20.066666666666666,0.216153270926696,1.4262733459472656
81,-8.691197421095303,0.0033768529538065195,0.0027770311571657658,300,0.26365486699260626,-0.14893534779548645,0.3588399887084961,11.328026294708252,-20.0,0.0004856586456298828,-21.25,6.638094186782837,-0.14844968914985657,2460842,-20.058333333333334,0.230118271585763,1.419103741645813
82,-8.734225659954804,0.0037159137427806854,0.0033980351872742176,300,0.39122315314351674,-0.1487990915775299,0.35482025146484375,11.258737802505493,-20.0,0.0002516210079193115,-22.5,6.55431056022644,-0.1485474705696106,2490842,-20.116666666666667,0.1416786827515694,1.4172565937042236
83,-8.680099776657622,0.0032231989316642284,0.003696255385875702,300,0.22438186696393767,-0.14852216839790344,0.35886144638061523,11.219382286071777,-20.0,0.002497658133506775,-21.25,6.570723056793213,-0.14602451026439667,2520842,-20.041666666666668,0.1700688557629146,1.4283239841461182
84,-8.695565518063233,0.0029538043309003115,0.0031975158490240574,300,0.29685855217594803,-0.14798443019390106,0.35974812507629395,11.314554452896118,-20.0,-0.0006582140922546387,-21.25,6.6491429805755615,-0.1486426442861557,2550842,-20.075,0.17208944282851077,1.417644739151001
85,-8.694008492526118,0.0029660293366760015,0.0029668183997273445,300,0.26365486699260626,-0.14841125905513763,0.354616641998291,11.167463541030884,-20.0,0.002295270562171936,-21.25,6.527848243713379,-0.1461159884929657,2580842,-20.058333333333334,0.1799573499191865,1.438843846321106
86,-8.681921661163042,0.0031253283377736807,0.0030373772606253624,300,0.35,-0.14847907423973083,0.35788941383361816,11.31894826889038,-20.0,0.0002857297658920288,-23.75,6.629983186721802,-0.1481933444738388,2610842,-20.05,0.13534132756360165,1.429726004600525
87,-8.714069191874598,0.00304216961376369,0.003170211100950837,300,0.3118047822311618,-0.1485537588596344,0.36162662506103516,11.47359299659729,-20.0,0.001256108283996582,-21.25,6.7215094566345215,-0.14729765057563782,2640842,-20.083333333333332,0.22745951668608075,1.4330940246582031
88,-8.681238799087662,0.002985264640301466,0.0030058929696679115,300,0.20138409955990957,-0.14941726624965668,0.35689377784729004,11.381235122680664,-20.0,-0.0010333508253097534,-21.25,6.6664440631866455,-0.15045061707496643,2670842,-20.033333333333335,0.15033315872840072,1.4400163888931274
